
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 103, Time: 1.45692, Systemstep: 0.0141449

Begin Step 104, Time: 1.47107, Systemstep: 0.0141449

Begin Step 105, Time: 1.48521, Systemstep: 0.0141449

Begin Step 106, Time: 1.49936, Systemstep: 0.0141449

Begin Step 107, Time: 1.5135, Systemstep: 0.0141449

Begin Step 108, Time: 1.52765, Systemstep: 0.0141449

Begin Step 109, Time: 1.54179, Systemstep: 0.0141449

Begin Step 110, Time: 1.55594, Systemstep: 0.0141449

Begin Step 111, Time: 1.57008, Systemstep: 0.0141449

Begin Step 112, Time: 1.58423, Systemstep: 0.0141449

Begin Step 113, Time: 1.59837, Systemstep: 0.0141449

Begin Step 114, Time: 1.61252, Systemstep: 0.0141449

Begin Step 115, Time: 1.62666, Systemstep: 0.0141449

Begin Step 116, Time: 1.64081, Systemstep: 0.0141449

Begin Step 117, Time: 1.65495, Systemstep: 0.0141449

Begin Step 118, Time: 1.6691, Systemstep: 0.0141449

Begin Step 119, Time: 1.68324, Systemstep: 0.0141449

Begin Step 120, Time: 1.69739, Systemstep: 0.0141449

Begin Step 121, Time: 1.71153, Systemstep: 0.0141449

Begin Step 122, Time: 1.72568, Systemstep: 0.0141449

Begin Step 123, Time: 1.73982, Systemstep: 0.0141449

Begin Step 124, Time: 1.75397, Systemstep: 0.0141449

Begin Step 125, Time: 1.76811, Systemstep: 0.0141449

Begin Step 126, Time: 1.78226, Systemstep: 0.0141449

Begin Step 127, Time: 1.7964, Systemstep: 0.0141449

Begin Step 128, Time: 1.81055, Systemstep: 0.0141449

Begin Step 129, Time: 1.82469, Systemstep: 0.0141449

Begin Step 130, Time: 1.83884, Systemstep: 0.0141449

Begin Step 131, Time: 1.85298, Systemstep: 0.0141449

Begin Step 132, Time: 1.86713, Systemstep: 0.0141449

Begin Step 133, Time: 1.88127, Systemstep: 0.0141449

Begin Step 134, Time: 1.89542, Systemstep: 0.0141449

